#fields:  name;RG;dataNascimento
Ophelia Robbins;736296772;1955-06-14
Combs Goff;692607054;1931-06-11
Adkins Robles;388866115;1967-04-22
Harris Montoya;563169287;1993-01-21
Glover Valenzuela;111173252;1952-11-01
Finch English;818093767;1961-09-27
Arlene Mason;786365315;1993-03-17
Ramona Murray;848537592;2008-04-15
Lynn Dotson;232601208;2004-05-12
Katharine Weiss;796653389;1915-12-23
Letha Skinner;437108704;1985-05-29
Patton Nash;161451007;1930-12-10
Park Macias;435856260;1985-09-12
Benita Rowe;703870761;1929-03-30
Thornton Saunders;61244097;1991-08-26
Candace Hughes;138443521;1952-03-18
Angelina Benson;216953702;2011-12-19
Juliette Dennis;6187432;1955-07-29
Lacey Wise;82033074;1960-08-10
Terra Phelps;86820239;1987-11-30
Mae Talley;744123716;1927-05-20
Chandler Mcneil;526336397;2011-01-23
Hutchinson Glover;852951290;1967-09-29
Sanchez Morin;282829918;1980-05-18
Rae Waller;398762566;1996-06-20
Clarice Horn;78842110;1992-10-19
Wells Chapman;315161290;1954-01-28
Daisy Woodard;710217268;1961-12-19
Tanner Snyder;170800706;1943-04-16
Todd Ashley;607682957;1980-09-16
Simon Farley;341265689;1937-01-18
Bridget Stephenson;85091556;1918-03-25
Ashlee Atkins;165316080;1939-01-23
Rosales Roberts;812610594;1987-12-13
Kennedy Atkinson;186467861;1953-12-24
Henry Oneill;993905908;1937-10-24
Cecilia Witt;587824539;1945-04-06
Barry Whitfield;307186139;1977-11-01
Violet Mccall;805307425;2005-05-03
Wilma Good;437465040;1961-12-01
Bertha Mckee;436403776;2013-08-04
Roslyn Mccullough;436327619;1928-09-12
Dotson Banks;401195492;1927-01-07
Clare Marks;959275161;2002-08-29
Susanne Suarez;688049316;1931-09-10
Barlow Hutchinson;901067140;1953-12-23
Grimes Gross;354451181;1969-03-16
Woodard Luna;970210663;2012-11-13
Mcbride Stanley;64021903;2007-01-05
Blackwell Briggs;329887457;1948-04-18
Vargas Delgado;719036826;1933-02-20
Carmen Greene;691204922;1937-06-25
Doris Koch;446426231;2005-05-21
Robyn Calderon;906648853;1968-08-26
Contreras Deleon;695703378;1963-10-02
Coleen Barr;496671998;1998-08-08
Pacheco William;764858835;1948-11-19
Dominguez Farrell;109926731;1991-10-15
Doreen Haney;958390380;1973-12-06
Glenda Michael;216235540;1975-01-23
Hobbs Diaz;588880740;1923-05-23
Rosemary Huff;493159014;1927-04-11
Waller Ramos;390076795;1967-04-01
Dana Lopez;219678166;2005-06-30
Knight Fisher;843506760;1943-07-16
Kaitlin Fitzgerald;347948487;2013-12-06
Conner Bentley;667249670;1979-05-01
Cabrera West;844031688;1994-12-14
Moran Bauer;937657653;1981-10-28
Anita Cooper;889982498;2010-05-26
Frazier Stevens;265546241;1947-01-20
Leah Guzman;919403686;1985-10-30
Mcmahon Alvarez;188995607;1957-06-17
Liz Stout;455715583;1996-07-14
Eugenia Hess;767333937;1957-08-01
Soto Richard;816279321;1917-04-15
Cook Rice;752355454;2001-08-15
Dionne Joseph;943415023;1930-02-24
Vance Best;932218836;1924-11-23
Clarissa Allen;583650666;1940-06-13
Allison Weber;300495360;1935-01-02
Deidre Harding;509990497;2009-05-23
Althea Shepard;733918940;1953-08-21
Delacruz Wood;343806782;1931-04-22
Patrica Christian;438120635;1990-04-14
Bernice Bowers;218620736;1934-01-08
Leblanc Snider;578402753;1973-11-03
Annabelle Moody;190768249;1984-12-31
Lily Hendrix;337682800;1931-11-03
Hallie Tucker;48148657;1956-12-02
Anastasia Velez;114676792;1992-10-14
Whitney Rutledge;381168833;1928-07-08
Marla Potter;244723444;2004-10-30
Mallory Goodman;304145852;1919-12-24
Fisher Oliver;476707505;1981-12-16
Emma Dudley;620274124;1935-06-04
Elvira Kent;435118862;1981-01-12
Stone Duke;108243138;1994-02-25
Kristina Reed;448482938;2009-03-05
Simone Bray;725184298;1965-10-29
Mccullough Finch;824685763;2006-08-27
Eula Hopper;223791042;1937-05-26
Graciela Dejesus;894159944;1954-05-20
Norman Jarvis;899892794;1997-07-31
Sloan Fleming;783632587;1938-02-21
Reva Hernandez;45947526;1988-06-23
Daniel Sullivan;896799290;1986-07-27
Alison Dixon;275566406;1964-02-23
Alexis Hardy;774482743;1916-09-01
Lakeisha Hale;99694299;2007-04-07
Yang Clark;332169149;1929-06-04
Luz Terry;252375849;1918-07-17
Barnes Hardin;222557927;1982-01-20
Reese Yang;898654739;1972-08-24
Molly Mcintosh;138691867;1956-08-21
Elsie Thompson;546836383;2012-03-10
Baldwin Decker;524288712;2003-04-12
Bettye Andrews;476527425;1954-02-19
Huber Middleton;278623947;1926-01-04
Claudia Mendoza;658918711;1956-04-18
Margie Carroll;335319175;1942-04-23
Nettie Lancaster;333058916;2016-02-28
Pauline Lester;340591648;1930-04-03
Dennis Lynch;778359635;1936-08-12
Stacie Moon;204788811;1938-05-29
Brandi Sykes;956957641;1967-10-24
Dawson Gonzalez;914456747;1960-01-09
Amber Serrano;909438695;1962-04-10
Gilliam Weeks;303311628;2002-10-27
Noemi Obrien;440797723;1992-04-19
Morse Howard;267157205;1963-12-16
Harvey Hahn;222994617;1963-10-23
Richardson Wiley;356827435;1944-10-29
Darcy Le;49577533;2005-03-25
Liliana Burnett;450657085;1989-12-02
Craig Carter;343629570;1984-02-03
Washington Lowery;3672985;1990-10-10
Lou Ingram;925982510;1946-02-20
Townsend Larsen;827847629;1981-06-25
Zelma Byers;458494045;1970-02-16
Rosalyn Drake;607914415;1990-08-03
Odonnell Richardson;379154679;2016-03-15
Kramer Dominguez;28168685;1981-02-03
Nadia Hooper;754557062;1948-07-09
Gail Bennett;103792070;1952-07-27
Elva Page;448293608;1971-06-04
Bradley Kelly;631264530;2008-01-26
Carroll Fernandez;815648567;2006-07-01
Dona Flynn;684060116;1998-02-19
Kristin Warner;672704443;1964-03-05
Scott Haynes;372553374;1999-12-18
Lynda Sexton;173410514;1958-12-18
Frank Hayden;148050691;1984-12-11
Dodson Ayers;152568117;1947-03-02
Kate Dale;344571429;1981-11-12
Jody Christensen;255012466;1948-07-31
Sophie Rodriguez;380060670;2010-11-21
Mccray Randall;158337159;1954-11-26
Jenifer Cox;630755792;1970-05-28
Eliza Clemons;487075112;1931-10-21
Audra Steele;879144810;1947-06-10
Ronda Carney;667457529;1915-02-18
Sheree Randolph;925549469;1952-01-08
Boone Palmer;285301338;1996-07-09
Jenna Duran;358204026;1994-02-19
Caroline Massey;288282929;2001-03-08
Bowers Jacobs;73152125;1965-05-09
Skinner Jordan;120640052;1954-01-25
Marie Nixon;296381107;2011-05-17
Booth Kidd;95982495;1980-11-01
Serena Sutton;33297693;1979-08-18
Rivers Sherman;768201677;1926-02-03
Betsy Washington;898218598;1984-12-23
Lopez Pratt;940145843;1989-08-22
Sonya Walton;595716693;2008-02-01
Zamora Levine;232606956;1934-11-15
David Montgomery;186995071;1988-03-22
Elma Preston;770662211;1962-05-05
Maricela Cole;168036881;1994-04-03
Kirby Trujillo;692182086;1979-09-10
Montoya Burris;968134898;2015-01-04
Bowman Lyons;493090228;1934-07-27
Mcguire Holland;211789951;2002-11-19
Maddox Cortez;152213752;1983-09-13
Christina Rasmussen;140386687;1961-12-31
Brittney Craig;814945559;1947-09-07
Tanisha Avery;365525028;1985-05-08
Louise Mercado;257345971;1932-01-09
Mcdaniel Vaughan;235581615;1963-07-25
Marsh Cobb;430911091;1920-06-13
Rose Parker;952981390;1933-12-19
Faye Perez;12938824;1936-02-23
Robin Mitchell;278619760;1915-06-04
Tiffany Johnson;770121590;2010-10-08
Heath Tyler;487243578;1920-08-24
Maria Wong;863215663;1978-05-25
Claudine Matthews;892487323;1929-09-06
Meredith Bernard;382791320;1970-01-12
Bethany Walter;880991045;1990-07-11
Ila Paul;802899962;1915-10-10
Jean Sparks;206781026;2013-10-27
Bobbi Shaw;829736361;1993-06-15
Lynne Haley;425562647;1922-09-12
Phillips Mosley;840587723;1929-10-27
Eileen Marsh;419608577;2014-12-05
Parrish Mcbride;743797818;1998-12-25
Bradshaw Blankenship;125983161;1997-04-20
Dorsey Crawford;297913424;1998-05-09
Stella Kim;925245205;1995-11-30
Kelly Wells;451793874;1983-01-26
Sweet Alford;778544036;1943-10-14
Paulette Brown;9449241;2008-05-27
Schwartz French;646755835;1953-04-21
Wilkerson Cleveland;285018872;1942-02-02
Dunlap Key;147595633;1985-07-21
Aguirre Stevenson;582627550;2006-06-20
Everett Strong;705341906;1993-08-14
Ina Garrison;376068228;2013-09-03
Erica Dunlap;805490422;1926-01-06
Mack Waters;410395116;1980-05-24
Chapman Gonzales;749237984;1961-02-27
Autumn Flowers;398695304;1958-12-12
Moreno Larson;649518762;1916-11-13
Dillon Hays;140796057;1981-06-23
Day Hoffman;165370726;1964-04-28
Kristine Velasquez;327904170;1974-09-12
Lucile Harrington;717599579;1939-12-16
Marquita Valentine;800835959;1971-01-23
Fanny Wall;36096800;1952-07-19
Alexandria Reid;889747539;1943-05-26
Jones Jenkins;827226915;1939-01-24
Delia Roberson;711405693;1981-05-01
Ola Graham;52960329;2007-02-25
Charlene Ray;930733869;1925-11-24
Craft Coleman;616932016;1921-08-28
Valerie Wilcox;746336738;1951-10-09
Lee Guerrero;657152520;1961-02-27
King Wilder;458151150;1915-05-17
Lawanda Vinson;884896848;1946-01-02
Penelope Lewis;392623074;2004-06-04
Clay Ellis;474617953;2012-05-08
Saunders Hanson;610186658;1929-02-21
Ursula Green;639550731;1969-08-29
Ferguson Riddle;405275629;1977-11-05
Mejia Blackwell;605731044;1977-05-25
Joseph Long;275462933;1962-07-04
Downs Wagner;7396027;1972-07-04
Hensley Benton;691775746;1953-07-31
Imelda Collier;569165164;1953-05-20
Earlene Nielsen;509319698;1950-04-19
Deana Sloan;112741570;1961-03-01
Bullock Burke;344063317;1939-07-18
Harriet Cardenas;623994762;1966-01-13
Walker Rojas;314050140;1943-03-23
Etta James;215274731;1942-12-25
Jacklyn Rodgers;502432111;1984-09-28
Kathie Simpson;869806008;1929-01-12
Karina Russell;702346292;2004-11-30
Ivy Mcknight;781872967;2005-10-28
Winifred Cooke;973012388;1942-10-01
Yates Poole;896447263;1943-10-07
Burns Shannon;324225043;1998-03-12
Rebecca Miller;795545519;1950-08-06
Bush Noble;209495090;1990-02-06
Samantha Cervantes;855423761;1999-06-03
Tonya Osborne;226689801;1936-08-10
Wyatt Cross;423703429;1939-06-13
Brandy Phillips;443396499;1929-11-21
Opal Austin;644833477;1920-01-19
Jensen Bass;614537272;2006-01-20
Toni Barker;231683422;1940-01-17
Thelma Landry;396474547;1927-01-16
Marlene Gamble;431952288;1986-06-03
Monroe Hatfield;710839944;1963-08-18
Cote Barlow;390595622;1933-01-02
Sexton Moreno;90089612;2012-01-12
Essie Buckley;995306306;1935-02-08
Guthrie Fulton;39126198;1992-04-17
Warren Bond;819330932;1920-01-06
Green Watkins;866352970;1995-11-15
Priscilla Nunez;342918107;1940-06-25
Gina Whitley;633139367;2015-09-20
Copeland Morgan;909945310;1963-07-27
Leigh Garza;769624576;1970-10-25
Medina Dillon;745180664;1947-09-19
Julie Dodson;838685668;1981-07-26
Lara Hood;410640850;1932-11-15
Duncan Murphy;940309794;1998-03-28
Gray Hodge;755699232;1976-03-21
Keisha Daniels;476677268;1958-08-09
Cristina Goodwin;187784145;1969-05-20
Daphne Anthony;677161522;1958-01-23
Harding Henry;890846145;1958-08-06
Meagan Mccoy;249443627;1935-05-06
Jan Ramsey;953040859;1945-09-26
Knapp Brady;249618463;1967-05-18
Lillian Mclaughlin;518097002;1925-08-11
Spencer Frost;318717855;1993-11-11
Albert Hammond;623164571;2005-04-02
Krista Strickland;478705276;1991-01-08
Chambers Branch;48659485;1970-03-04
Woods Foreman;13808729;1935-12-15
Jolene Gould;775853540;1953-08-12
Summer Lindsey;485281886;1933-12-24
Marks Spencer;829066767;1991-11-11
Joann Carlson;625540849;1939-07-28
Vicki Contreras;704785609;1942-02-14
Esperanza Burt;857362142;1916-10-11
Mandy Bush;128287651;1915-04-17
Mercer Holmes;215186438;1993-03-08
Nanette Avila;790255022;2003-02-15
Jackson Herring;824620439;1956-11-28
Cunningham Freeman;327503864;1967-02-18
Roberta Battle;283621345;1970-03-08
Louisa Nelson;381768029;2001-07-10
Carissa Torres;808475627;1924-06-19
Dawn Crane;892422951;1915-03-19
Chris Williams;75716984;1988-11-15
Jerri Bender;50906393;1971-11-19
Amparo Padilla;991277833;1953-03-09
Angeline Anderson;833630530;1969-01-06
Joy Charles;139526176;1951-08-15
Preston Kirby;978537596;1998-02-09
Sondra Powers;271331044;1988-01-04
Kelley Chen;263841124;1936-02-23
Adrian Hester;622337248;1996-05-24
Gilmore Kirkland;351040866;1976-06-02
Ortiz Pacheco;170559438;2000-11-19
Welch York;253180345;2005-11-14
Webb Knox;582754742;2000-09-01
Candy Richmond;961624861;1947-10-27
Baird Maddox;940968830;1988-10-30
Harrison Blackburn;500823364;1964-02-19
Marguerite Silva;378819418;1920-12-09
Jocelyn Mann;796040893;1978-02-03
Dale Lynn;239868089;1991-03-21
Bobbie Petty;373825866;1959-01-09
Monica Cote;944200854;1961-07-10
Oneill Nguyen;109440190;1965-07-22
Josefina Swanson;352896314;1964-05-01
Julianne Hewitt;623813695;1919-06-20
Debra Fuller;476288227;1963-03-25
Velez Mayer;528188307;1915-07-02
Duffy Sargent;37051843;1961-07-13
Willie Oconnor;567345790;1975-02-08
Hatfield Pierce;737563431;1972-12-11
Lena Patel;900332719;1932-12-18
Gay Cooley;567738106;1953-05-24
Claudette Payne;699032502;1974-09-04
Hardy Wiggins;845569395;1991-11-26
Mari Blake;41921497;1995-12-23
Riggs Clarke;619529193;1934-12-07
Olivia Mcguire;629677687;1970-10-23
Cantrell Pitts;22683490;1970-10-17
Solis Glenn;181691407;1948-06-03
Laverne Puckett;64514387;1947-11-23
Nicole Santiago;860417448;1940-07-03
Cohen Calhoun;385971759;1985-05-04
Nunez Gallegos;773382846;1994-01-10
Nguyen Conley;741505804;1940-02-06
Yolanda Roach;262452389;2015-04-19
Wise Becker;417234258;1944-12-15
Gonzales Bates;411097413;1964-02-16
Elise Thomas;663287675;1978-05-02
Adeline Logan;187912746;1953-04-18
Moody Edwards;263354972;1982-07-21
Jacqueline Davenport;899090357;1973-09-13
Mayo Monroe;3648278;1998-11-24
Merrill Mcdonald;938656060;1938-03-03
Buck Parsons;537842212;1959-11-15
Deena Mccormick;52385806;1976-10-09
Malinda Colon;584367066;1981-12-23
Teri Griffith;809978218;1963-09-26
Hughes Underwood;745585643;1931-12-26
Allyson Stein;519416834;1915-11-08
Branch Hopkins;395629362;1995-12-12
Hattie Ball;154516190;1978-10-19
Rojas Brooks;888966306;1985-09-27
Bradford Romero;912525595;1936-02-20
Stanton Burks;967510684;1937-03-09
Martinez Manning;861238737;2007-05-05
Becky Moran;222533861;1953-07-23
Sonja Davidson;669810287;2009-03-06
Sherrie Harmon;200009617;1977-03-06
Carmella Brewer;300357492;1964-04-30
Walters Mathis;487512471;1916-07-18
Susanna King;497076445;1978-08-23
Riddle Sharp;456215391;1962-12-29
Shaw Reynolds;152045464;1920-12-27
Padilla Jacobson;310612703;1934-08-02
Melton Callahan;840539170;1946-08-03
Tracy Wilkerson;460170499;1930-11-16
Russell Garcia;665423804;1996-07-24
Jaclyn Harrison;741211118;1973-11-02
Suarez Keith;674030868;1998-04-23
Kayla Fox;673234184;2006-12-18
Camacho Guerra;681770040;1928-12-23
Melinda Carver;204312905;1936-10-31
Noel Vincent;934996048;1947-09-15
Arnold Bruce;491263333;1952-08-06
Luella Slater;306112145;1983-02-06
Eloise Riggs;367834610;1999-03-31
Margaret Clements;224100126;1921-08-15
Audrey Hamilton;690310751;1984-10-11
Ford Mcdowell;367902535;2003-07-26
Rhonda Bowen;664835108;1980-12-19
Britney Britt;854243184;1975-11-29
Katherine Galloway;138389410;1999-05-21
Workman Terrell;780314980;1929-11-15
Adrienne Mcintyre;371182385;2011-07-27
Howell Kemp;68753092;1951-10-30
Ochoa Humphrey;819771208;1943-12-18
Estrada Townsend;599674494;1980-04-26
Harrington Barrett;308572086;1926-04-04
Flores Combs;139933892;1921-04-25
Duke Nicholson;751675938;1982-10-11
Courtney Wynn;998616770;2001-01-21
Carlson Perry;362410809;1974-07-28
Florence Holder;247165805;1972-03-21
Parsons Roman;327062879;1950-10-16
Phoebe Burgess;503578103;2003-12-01
Gregory Hobbs;88243095;1986-03-14
Madelyn Harvey;357592839;2002-07-16
Cherry Sanders;95962494;1962-11-18
Bonita Gibbs;678540964;1985-04-24
Mavis Burch;745335226;1986-12-02
Faulkner Alston;943291129;1955-12-07
Kelsey Collins;896979745;1930-12-13
Lea Compton;28602374;1994-01-11
Lana Porter;128532981;2015-12-26
Concetta Rollins;159889374;1956-09-12
Garrison Patton;648263112;1927-05-30
Singleton Pollard;155293394;1958-11-01
Miller Buck;549181617;2004-09-18
Odom Blevins;126106466;2014-11-17
Bridgett Bartlett;952364877;1922-05-08
Alta Black;229258004;1985-01-30
Jacobs Fitzpatrick;311738176;1985-08-31
Conrad Gilmore;203187127;1966-03-17
Gomez Soto;16618672;1981-01-28
Cara Sharpe;542698476;2012-03-19
Kristen Chang;930114971;1953-10-18
Gaines Kramer;603948645;1960-11-28
Deanna Everett;153528902;2008-10-21
Campos Morton;367711202;1978-11-27
Lamb Vazquez;268371903;1926-11-01
Nita Miles;361503522;1917-05-01
Gale Day;423004402;1973-08-05
Carrie Stafford;492673789;1970-12-05
Phyllis Frederick;627122047;2000-04-30
Whitaker Doyle;567094095;1998-10-28
Michelle Bishop;676275381;1937-04-20
Bernadette Castro;700798255;1999-09-13
Lowery Schroeder;673931116;1994-09-12
Kitty Miranda;914462990;1989-10-15
Mathews Davis;487207589;1948-08-08
Lisa Merritt;43039726;1963-05-28
Morrow Mcmahon;889075522;1963-09-06
Diane Fields;907193330;1943-08-03
Shannon Shields;111471934;1965-10-11
William Higgins;79541589;1952-03-06
Rutledge Vaughn;7677417;1996-07-17
Pruitt Pittman;647077196;1931-09-07
Abbott Small;757639944;1986-02-03
Pace Acosta;306509795;1982-02-10
Hillary Webster;661857155;1918-04-27
Helene Estrada;889218047;1948-04-23
Rena Summers;61557669;1957-03-13
Marisa Acevedo;724838489;1921-09-21
Vinson Sampson;167734196;1990-06-02
Mccall Burton;40036165;1968-06-08
Susie Navarro;717299886;1960-01-13
Calhoun Morales;995758005;1949-09-01
Hull Holcomb;52067172;2006-10-30
Salas Crosby;973229471;1983-06-16
Tate Todd;791626441;1937-06-21
Sofia Patterson;812043615;1960-07-03
Booker Gates;607052520;1938-01-17
Holland Cannon;989243683;1940-08-21
Kim Mcconnell;221949252;1960-09-10
James Powell;28109317;2004-11-13
Sampson Ayala;351697175;1941-05-04
Tania Mcgowan;851726698;1990-09-09
Bruce Cash;513775780;1993-09-05
Franklin Trevino;720016360;1947-10-11
Debbie Espinoza;880648044;1965-03-12
Sandy Brock;739580626;1973-11-09
Yvette Joyner;588219467;1928-11-28
Saundra Hart;702649145;1938-09-16
Jannie Henson;151394062;2012-06-07
Witt Guthrie;6783562;1926-04-03
Goodman Lloyd;144061551;1945-09-07
Burton Marshall;79454139;1935-03-25
Holmes Rivers;762961215;1972-12-01
Elisabeth Cummings;953929827;1933-06-20
White Blanchard;799211991;2011-04-03
Fernandez Estes;211598219;1975-12-11
Nolan Mckenzie;311992157;1982-02-28
Johanna Cain;345832359;1946-08-14
Franks Berry;629647806;1958-05-10
Wheeler Quinn;982382763;1996-03-03
Noble Walker;336243184;2001-01-14
Fowler Donovan;120146109;2005-08-14
Bernard Kerr;535407843;1930-02-22
Evangelina Kinney;457448729;1959-02-23
Porter Ballard;831841009;1958-04-26
Marva Simmons;730803487;2001-12-03
Cecile Flores;181592116;1945-06-16
Wendy Stone;983724886;1938-10-22
Tameka Mathews;701919785;1935-05-08
Lynn Walters;710705067;2011-10-22
Drake Moore;1750932;1941-01-21
Rosanna Lee;446407894;1991-05-24
Ware Cantu;880506146;1981-01-21
Ratliff Levy;448979318;1950-08-03
Lambert Valencia;997355947;1995-08-24
Candice Ratliff;751117717;1978-01-24
Carmela Velazquez;220335862;2010-07-31
Doyle Hines;796814072;1950-01-26
Diana Oneal;763220473;2000-03-11
Gillespie Bullock;735945123;1948-12-15
Tamera May;527070056;1938-04-25
Angie Chandler;940570767;1916-04-12
Ebony Hoover;327979942;1924-09-30
Mclean Mercer;499601128;1941-10-09
Sharp Rocha;422732400;1941-03-18
Ewing Armstrong;32619160;1927-02-19
Dianne Vang;58256686;1967-11-21
May Frye;694088682;1958-04-02
Cotton Woodward;942310962;1933-01-11
Clements Stark;344875505;1924-11-18
Hill Zimmerman;958713985;1931-08-12
Battle Salinas;573047067;1978-11-01
Erickson Barron;10758600;2005-04-17
Corrine Carrillo;204991717;2000-01-28
Hopkins Hebert;291855191;1951-11-03
Dee Floyd;559368235;2007-09-29
Mattie Bell;103886381;1934-03-19
Calderon Rivas;661726146;2010-11-10
Roy Pickett;467342051;2006-01-30
Melba Willis;796651508;1990-10-31
Faith Ramirez;581671466;1939-01-05
Wilda Pruitt;782227805;1965-01-20
Gilda Richards;692994660;1919-08-26
Marcy Wheeler;552149051;1928-06-26
Mason Case;272099349;1999-04-19
Jeannine Gilliam;602987083;1982-07-22
Barker Gallagher;825091368;2015-10-03
Kathleen Campbell;470460042;1995-04-05
Espinoza Robinson;995425147;1929-01-04
Beverley Thornton;138844613;1966-01-25
Kathrine Conrad;333712571;1963-01-12
Allison Harper;531354163;1989-08-29
Graham Duffy;779473873;1950-05-14
Brittany Stephens;426908554;1985-02-19
Herminia Owen;202866017;1993-04-08
Vaughan Ewing;124348211;2008-10-07
Tammy Little;523902314;2015-11-08
Lilian Bird;391306831;1986-10-22
Lavonne Dean;981594035;1988-09-16
Eleanor Reilly;942220530;1950-10-12
Staci Potts;896617865;1943-08-19
Meyer Woods;324996544;1987-08-10
Alford Ford;52794651;1968-10-16
Santana Clay;408327485;1987-12-17
Katelyn Riley;190990062;1917-06-10
Mamie Hinton;37767221;1959-03-20
Mcmillan Hicks;506088416;1965-04-19
Talley Adkins;54185381;2006-06-10
Angelita Madden;808900133;1954-02-11
Kelli Bradford;165307199;1990-09-24
Jaime Turner;820932251;1932-08-27
Irma Mays;737698288;1985-06-29
Nichole Hyde;956652550;1990-04-19
Olsen Juarez;819554468;1918-10-22
Madeline Chan;789118694;1956-10-11
Coffey Mack;727048501;1997-02-04
Miles Macdonald;981119171;1969-03-22
Raquel Shaffer;650724013;1942-12-14
Guadalupe Wolf;872205791;1930-12-03
Potts Russo;562420932;1995-12-02
Reynolds Durham;646202769;1920-06-27
Vera Rich;504992102;1965-11-16
Macias Myers;372698229;2008-09-20
Hebert Alvarado;217407052;1967-05-04
Quinn Erickson;437191060;1976-05-26
Rosario Duncan;204227044;1996-09-28
Carr Lawrence;466343458;1916-12-10
Mcclure Cline;383525566;2003-05-20
Puckett Solis;770425849;1962-10-16
Dianna Francis;511782124;1918-03-28
Rachael Rivera;291320161;1978-07-13
Ginger Ellison;748808648;2014-08-11
Latoya Reyes;728133762;1969-02-09
Clemons Salas;132211824;1940-07-22
Carolyn Bridges;880577561;1918-07-28
Jacquelyn Gaines;888632454;1958-09-20
Rosa Glass;652456142;1953-01-23
Beatrice Hartman;568236984;1984-02-25
Nona Meadows;817333706;1932-09-29
Darlene Dalton;865718864;1927-11-17
Glenna Olsen;624675020;1916-12-01
Lupe Mcclain;884767550;2008-04-08
Monique Schneider;18160859;1992-03-25
Rich Browning;827303323;1945-01-03
Holly Singleton;500760431;1950-06-06
Ruth Chase;834693178;1961-07-28
Phelps Mccarthy;77572757;1937-01-02
James Mullins;797449349;1951-02-19
Alexander Stewart;800261526;1974-08-27
Perez Rhodes;464872353;1926-11-12
Ball Donaldson;83185913;1966-07-31
Kim Price;493195278;2005-11-21
Brenda Norton;338429695;2012-06-18
Krystal Ortiz;175490509;1963-01-12
Mccarthy Cohen;752351297;2013-07-26
Ella Jensen;341042659;1981-10-28
Marsha Bonner;42896407;2015-09-18
Kerry Moss;291914680;1973-08-13
Dyer Schmidt;177847791;1915-03-03
Briggs Aguirre;940037897;1946-06-05
Huffman Curtis;937431809;1973-01-16
Mosley Odonnell;509150243;1919-03-21
Cochran Harris;336390566;1952-09-23
Cheryl Tillman;2759688;2007-03-16
Ruby Vance;762482506;1928-11-10
Eve Gentry;89199259;1941-09-01
Dorothy Salazar;895739484;1993-11-30
Ramirez Frazier;301705183;1947-09-08
Kris Bright;164127196;1915-06-21
Maureen Lambert;430435975;1999-11-05
Ashley Tate;655092812;2006-01-21
Valenzuela Garrett;397266029;1949-06-02
Young Maynard;834798839;1915-07-24
Berg House;592746195;1937-02-19
Ortega Langley;263420155;1924-08-12
Bright Sanford;829302892;1925-05-08
Valeria Lamb;379000303;1932-05-27
Neal Kline;524430666;1964-05-05
Traci Emerson;622626543;1970-11-24
Forbes Frank;150463334;1950-05-06
Pansy Dyer;42487382;1948-12-06
Aileen Clayton;148341853;1969-10-05
Sue Jefferson;608346008;1949-10-27
Murray Jennings;532042725;1941-10-09
Anne George;808608809;1915-10-13
Pearl Hubbard;68413525;1935-04-20
Alexandra Pennington;439737946;1972-04-14
Kasey Pearson;796961517;1925-02-09
Cheri Fry;652677873;2010-10-28
Chaney Burns;496250150;1982-01-25
Good Beasley;208703723;1945-11-01
Brewer Castillo;524324329;1956-02-09
Henrietta Irwin;27003041;1942-09-24
Victoria Nolan;46170281;1949-01-10
Roberts Pope;706053618;1996-01-05
Burnett Carr;429238240;1972-04-18
Cortez Dawson;909327487;2014-12-18
Spence Beard;315042788;1962-04-08
Earline Workman;796335861;1987-04-01
Yesenia Wilkinson;466696171;1956-04-24
Justine Curry;953517988;1924-12-02
Burt Howell;665420482;1915-08-07
Karla Morrow;159489021;2010-11-19
Blevins Hull;80181578;2014-01-16
Henderson Marquez;456203279;1969-07-18
Mcdonald Cantrell;318856917;2013-12-07
Stacey Farmer;270998860;2011-09-30
Delgado Tanner;710616461;1922-01-08
Wendi Travis;30290342;1948-01-29
Charles Spears;807495414;1924-08-15
Jeannette Baker;2827929;2012-01-28
Myers Pace;98761987;2000-12-06
Richmond Meyers;977884245;1945-05-06
Pickett Buchanan;978039125;1977-01-08
Lee Knapp;198042592;2005-06-05
Winnie Coffey;24785226;2003-12-17
Murphy Melendez;457902582;1918-06-11
Justice Fowler;92450136;1947-02-26
Sullivan Stokes;41187538;1950-06-02
Mclaughlin Hogan;6829567;1915-07-10
Celeste Daniel;587010734;1947-01-20
Esmeralda Gardner;167384101;1941-06-24
Paul Giles;945652005;1926-09-17
Felecia Mcfadden;17468442;2014-07-22
Cooley Stuart;670806869;1993-07-02
Angelica Herrera;495043325;1933-03-16
Joan Sheppard;87133914;1942-09-29
Tami Parks;583883093;1947-07-25
Spears Gillespie;723858224;2013-05-09
Terry Buckner;294826557;1982-05-11
Ashley Aguilar;541840430;1928-07-06
Carey Pugh;635285616;1982-04-07
Ester Reese;429430691;1958-02-28
Sharpe Love;699268608;2013-05-06
Donna Pena;352062979;1968-08-29
Flora Schwartz;180706224;1922-10-14
Keith Harrell;610563137;1985-04-19
Gloria Oneil;733695171;2001-12-17
Davis Mccarty;589034221;1944-11-05
Meadows Hayes;351381667;2003-08-18
Georgette Vargas;195917031;1985-08-12
Pratt Peck;614570706;1930-09-17
Ross Roy;788711562;2005-10-24
Stokes Berger;498817882;1927-10-12
Lillie England;524577716;1926-08-16
Barron Alexander;602087003;1982-06-23
Marylou Shelton;837138984;1960-11-23
Kemp Church;914154357;1981-03-24
Rosalinda Knight;691700941;1982-02-22
Lacy Ware;746530208;1993-11-17
Hale Newton;598913512;1960-11-09
Frederick Holman;344732018;1947-03-14
Shelby Beach;426781511;1977-05-31
